name,website,praesidia,category,lat,lon,city
Sverok - Spelkulturförbundet,http://www.sverok.se/,,community_services_non_profits,"59,3288456","17,9844627",Stockholm
Sverok Stockholm-Gotland,https://linktr.ee/SverokStockholmGotland,,community_services_non_profits,"59,3353193","18,0000416",Stockholm
Sweco,http://www.sweco.se,,architectural_designer,"59,3278212","18,017916",Stockholm
Swedish History Museum,http://www.historiska.se/,,museum,"59,334757","18,09087",Stockholm
Swedish Museum of Natural History,http://www.nrm.se,,history_museum,"59,3689717","18,0538789",Stockholm
Swedish Music Hall of Fame,http://swedishmusichalloffame.com,,music_venue,"59,325","18,0963889",Stockholm
Swedish Royal Palace,https://www.kungligaslotten.se/vara-besoksmal/kungliga-slottet.html,,arts_and_entertainment,"59,3262879","18,0704607",Stockholm
Swedish Swing Society,http://www.swedishswing.se/,,community_services_non_profits,"59,3416674","18,0464004",Stockholm
Swedish Theatre,https://Ingen webbplats,,theatre,"59,33","18,0772",Stockholm
Sweetlife Pole & Wellness,http://www.sweetlifepole.se/,,dance_school,"59,33746","18,02997",Stockholm
SWMS arkitektur,http://www.swms.se/,,architectural_designer,"59,34397","18,0485599",Stockholm
Symf,http://www.symf.se/,,community_services_non_profits,"59,3353474","18,0305937",Stockholm
Syntax Error Stockholm,https://syntax-error.se/,,dance_club,"59,3187259","18,0608951",Stockholm
Synth After Work,https://www.facebook.com/synthafterwork/,,music_venue,"59,3233576","18,0707544",Stockholm
Särimners Kultingar (SK),https://disk.su.se/sk/,,community_services_non_profits,"59,405219","17,945015",Stockholm
Söderbokhandeln Hansson & Bruce,http://www.soderbokhandeln.se/,,bookstore,"59,3160543","18,0725407",Stockholm
Södergården hemgård,http://www.sodergarden.org/,,community_services_non_profits,"59,316049","18,0724578",Stockholm
SödermalmMedia Bokförlag,http://www.sodermalmskyrkan.se/,,bookstore,"59,309375","18,076191",Stockholm
Södermalms Bokbinderi,http://www.sodermalmsbokbinderi.se/,,arts_and_crafts,"59,315944","18,0723455",Stockholm
Södra Kulturkontoret,https://sodrakulturkontoret.se/,,community_services_non_profits,"59,3092954","18,0969131",Stockholm
Södra Teatern,https://sodrateatern.com/,,theatre,"59,3183212","18,0744291",Stockholm
Sömnad,http://www.sv.se/stockholm,,community_services_non_profits,"59,314868","18,074538",Stockholm
Söndagsteater i Husby,http://mittiprickteatern.se/sondagsteater,,theatre,"59,40865","17,9272199",Stockholm
Söndagsteater i Rinkeby,http://www.mittiprickteatern.se/forestallningar/sondagsteater-i-rinkeby,,theatre,"59,3891566","17,9247952",Stockholm
Tage Granit,http://www.tagegranit.se/,,theatre,"59,3369713","18,0481205",Stockholm
Taket,https://Ingen webbplats,,dance_club,"59,3319282","18,0643995",Stockholm
Talk To,http://www.talkto-official.se/,,architectural_designer,"59,3411829","18,0747823",Stockholm
Tallkrogens loppis o antikvariat,https://Ingen webbplats,,bookstore,"59,2716","18,0846",Stockholm
Tango Academy Stockholm,http://tangoacademy.se/,,dance_school,"59,33335","18,01626",Stockholm
Tango Norte,http://www.tangonorte.com/,,community_services_non_profits,"59,3252437","18,0679809",Stockholm
Tattoo Kontrast & ART Gallery,https://kontrastinkgallery.com/,,art_gallery,"59,3073927","18,0783134",Stockholm
Teater & Dramaskolan,http://www.teaterochdramaskolan.com/,,theatre,"59,3097252","18,0800408",Stockholm
Teater Barbara,http://www.barbara.nu/,,theatre,"59,3293854","18,0452804",Stockholm
Teater Brunnsgatan Fyra,http://www.brunnsgatanfyra.se/,,theatre,"59,3367472","18,0698848",Stockholm
Teater De Vill,https://teaterdevill.se/,,theatre,"59,3291035","18,0450864",Stockholm
Teater Dur & Moll,http://www.durochmoll.se,,theatre,"59,3173685","18,084006",Stockholm
Teater Galeasen,http://www.galeasen.se/,,theatre,"59,3273656","18,0837312",Stockholm
Teater Giljotin,http://www.teatergiljotin.se/,,theatre,"59,3404399","18,0382785",Stockholm
Teater Kung och Drottning,http://www.kungochdrottning.se/,,theatre,"59,2932997","17,9188857",Stockholm
Teater Pernilla Vettskrämd,https://Ingen webbplats,,theatre,"59,273779","17,983564",Stockholm
Teater Reflex,http://www.teaterreflex.se/,,theatre,"59,284","18,114066",Stockholm
Teater Satori,http://www.teaterverket.se/,,theatre,"59,343842","18,0560478",Stockholm
Teater Tre,http://www.teatertre.se/,,theatre,"59,317711","18,05516",Stockholm
Teater Tribunalen,http://www.tribunalen.com,,theatre,"59,3177209","18,0526959",Stockholm
Teateralliansen,http://www.teateralliansen.se/,,theatre,"59,3161502","18,0438307",Stockholm
Teatercentrum,http://www.teatercentrum.se/,,theatre,"59,31613","18,0426686",Stockholm
Teatermakarna Lundén,http://www.teatermakarna.se/,,theatre,"59,31541","18,0843",Stockholm
Teaterscentralen,http://www.teaterscentralen.se/,,theatre,"59,3293523","18,0011613",Stockholm
Teaterstudio Lederman,http://www.teaterlederman.com/,,theatre,"59,3416312","18,039617",Stockholm
Teaterverket,http://scenfredag.se/,,theatre,"59,3416077","18,0479504",Stockholm
Teaterverket,http://www.teaterverket.se/,,theatre,"59,3357154","18,0594665",Stockholm
Teckna och måla,http://www.sv.se/stockholm,,community_services_non_profits,"59,314755","18,074802",Stockholm
Tegelscenen,http://www.tegelscenen.se/,,theatre,"59,2589757","18,0952421",Stockholm
Tegen2,https://www.instagram.com/tegen.2/,,art_gallery,"59,3107428","18,0798981",Stockholm
Tekniska museet,http://www.tekniskamuseet.se/,,museum,"59,332456","18,118798",Stockholm
Telefonfabriken,http://www.telefonfabriken.com/,,theatre,"59,2989241","17,9910012",Stockholm
Telefonplan Studios,https://Ingen webbplats,,cultural_center,"59,3001589","17,9942239",Stockholm
Telefonplans bibliotek,http://biblioteket.stockholm.se/bibliotek/telefonplans-bibliotek,,library,"59,298881","17,9964331",Stockholm
Tensta Bibliotek,http://biblioteket.stockholm.se/bibliotek/tensta-bibliotek,,library,"59,39551","17,897879",Stockholm
Tensta CommunityCenter,https://Ingen webbplats,,community_center,"59,39319","17,90615",Stockholm
Tensta Joyful Noise,https://youtube.com/@tenstajoyfulnoise?si=ZUbpRHa_YXbW53I7,,choir,"59,39291","17,90252",Stockholm
Tensta konsthall,https://tenstakonsthall.se/,,art_gallery,"59,3937128","17,9033414",Stockholm
Tham & Videgård Arkitekter,http://www.tvark.se/,,architectural_designer,"59,3107007","18,0766522",Stockholm
The Cave,https://thecavesthlm.se/,,dance_club,"59,3401406","18,0619603",Stockholm
The English Bookshop,http://www.bookshop.se,,bookstore,"59,323878","18,068626",Stockholm
The English Bookshop Stockholm,http://www.bookshop.se/,,bookstore,"59,3133208","18,0804733",Stockholm
The EntertainMen,http://www.entertainmen.se/,,choir,"59,27688","18,1328",Stockholm
